Symbol,Market Cap,Short Float,Shs Float,Shs Outstand
HBAN,21.31B,2.44%,1.01B,1.02B
HBANO
HBANP
HBIO,329.20M,1.94%,35.52M,39.79M
HBP,156.52M,1.38%,19.45M,27.30M
HCAQ,260.86M,0.04%,21.31M,26.49M
HCARU,-,0.00%,34.01M,-
HCAT,2.52B,13.22%,42.34M,43.87M
HCCCU,-,0.01%,27.50M,-
HCDI,48.39M,4.36%,11.45M,13.27M
HCIC,438.25M,0.74%,34.50M,43.12M
HCICU,-,-,-,-
HCIIU,-,-,-,-
HCM,6.01B,1.33%,69.30M,148.90M
HCNEU,-,-,-,-
HCSG,2.40B,15.30%,74.24M,75.00M
HDSN,156.21M,1.36%,27.95M,43.35M
HEAR,487.94M,7.31%,15.52M,15.55M
HEES,1.20B,2.00%,31.86M,36.19M
HEPA,160.10M,2.48%,67.62M,76.23M
HEPS,-,-,119.06M,-
HERAU,-,-,-,-
HERO,-,-,-,-
HGBL,88.51M,0.00%,27.10M,34.79M
HGEN,1.01B,16.10%,44.46M,52.66M
HGSH,47.79M,2.45%,3.69M,22.52M
HHR,2.10B,0.61%,16.30M,50.33M
HIBB,1.50B,12.24%,14.94M,16.32M
HIHO,15.51M,0.22%,2.02M,3.91M
HIIIU,-,0.21%,10.00M,-
HIMX,2.76B,8.19%,148.70M,173.77M
HITI,369.35M,-,27.54M,48.47M
HJLI,56.23M,2.24%,6.04M,8.51M
HLAH,318.49M,0.40%,27.60M,32.41M
HLAHU,-,0.00%,25.80M,-
HLIT,840.00M,9.09%,98.01M,99.87M
HLNE,4.91B,4.24%,30.36M,34.91M
HMCOU,-,-,-,-
HMHC,1.39B,4.62%,126.08M,126.47M
HMPT,799.59M,0.57%,137.62M,138.90M
HNRG,82.70M,1.38%,22.87M,30.61M
HNST,1.35B,6.66%,85.71M,90.46M
HOFV,363.20M,7.55%,57.30M,75.35M
HOLI,915.48M,0.35%,55.58M,60.52M
HOLX,17.42B,2.32%,254.71M,258.47M
HOMB,4.11B,2.86%,151.03M,165.26M
HON,153.23B,0.64%,693.68M,696.20M
HONE,810.07M,1.60%,49.98M,52.54M
HOOK,278.54M,11.15%,22.45M,29.79M
HOPE,1.77B,2.50%,117.78M,123.33M
HOTH,38.70M,0.99%,18.83M,23.87M
HOWL,530.09M,3.46%,24.00M,26.10M
HQY,6.76B,5.50%,81.90M,83.39M
HRMY,1.67B,1.29%,46.18M,56.89M
HROW,241.59M,8.00%,23.61M,26.02M
HRTX,1.53B,26.72%,90.01M,91.39M
HRZN,343.06M,-,-,19.66M
HSDT,37.83M,4.34%,1.93M,2.32M
HSIC,10.62B,2.85%,137.50M,142.30M
HST,12.23B,8.23%,697.65M,705.60M
HSTO,43.80M,1.21%,31.13M,31.57M
HTBK,677.42M,1.84%,57.65M,59.93M
HTBX,177.03M,10.51%,24.16M,24.20M
HTGM,37.11M,4.50%,5.74M,6.04M
HTHT,17.53B,8.80%,175.62M,321.80M
HTLD,1.40B,2.47%,40.10M,80.15M
HTLF,2.01B,1.32%,39.75M,42.17M
HTOO,189.01M,7.17%,9.97M,12.05M
HUDI,63.70M,0.04%,3.12M,13.08M
HUGE,61.91M,2.78%,33.97M,35.99M
HUIZ,305.92M,14.59%,0.36M,51.92M
HUSN,23.29M,3.29%,3.90M,6.41M
HUT,735.37M,-,100.69M,142.51M
HVBT
HWC,3.90B,2.08%,85.91M,86.75M
HX,26.51M,0.20%,5.43M,16.30M
HYACU
HYFM,2.25B,5.65%,23.57M,33.72M
HYLS,-,-,-,-
HYMC,173.69M,1.89%,59.46M,59.90M
HYRE,438.35M,9.12%,17.01M,19.23M
HYW,211.03M,0.06%,14.00M,28.80M
HZNP,21.71B,2.34%,219.76M,223.92M
IAC,13.71B,1.86%,77.81M,85.90M
IART,5.85B,5.55%,72.65M,84.50M
IAS
IBB,-,-,-,-
IBEX,356.98M,1.08%,5.61M,18.08M
IBIO,331.09M,8.13%,215.41M,215.54M
IBKR,27.58B,4.50%,80.41M,90.79M
IBOC,2.76B,2.10%,53.28M,63.31M
IBRX,5.47B,12.42%,66.84M,382.74M
IBTB,-,-,-,-
IBTX,3.22B,1.77%,37.30M,42.73M
ICHR,1.49B,2.62%,27.83M,28.00M
ICLK,1.05B,1.25%,71.99M,93.37M
ICLN,-,-,-,-
ICLR,11.41B,13.52%,52.23M,52.81M
ICON,45.81M,0.64%,13.15M,13.80M
ICPT,678.86M,20.35%,28.07M,33.14M
IDCC,2.25B,6.88%,30.38M,30.84M
IDEX,1.18B,9.14%,380.91M,391.13M
IDN,157.82M,9.35%,16.99M,18.52M
IDRA,59.00M,8.38%,38.72M,41.19M
IDXX,54.49B,1.01%,84.47M,85.53M
IDYA,720.04M,4.09%,30.34M,31.76M
IEA,325.47M,11.85%,20.96M,23.06M
IEC,112.14M,1.18%,9.36M,10.58M
IEF,-,-,-,-
IEI,-,-,-,-
IEP,14.15B,0.87%,22.75M,242.00M
IEUS,-,-,-,-
IFBD,105.50M,0.24%,12.35M,26.05M
IFMK,50.40M,1.51%,9.82M,30.23M
IFRX,132.79M,0.10%,34.32M,44.19M
IFV,-,-,-,-
IGAC,367.14M,0.29%,22.50M,37.50M
IGACU
IGF,-,-,-,-
IGIC,458.34M,2.40%,24.67M,45.50M
IGMS,2.86B,21.12%,14.50M,33.33M
IGNYU,-,0.00%,4.33M,-
IGOV,-,-,-,-
IGSB,-,-,-,-
IHRT,3.80B,2.92%,100.57M,140.84M
IHT,59.72M,3.11%,3.01M,9.13M
IHYF
III,283.31M,3.37%,32.37M,48.50M
IIIIU,-,0.01%,25.57M,-
IIIV,995.50M,-,-,20.94M
IIN,200.07M,4.07%,8.43M,8.99M
IIVI,7.61B,16.85%,103.26M,104.77M
IJT,-,-,-,-
IKNA,509.05M,4.05%,31.36M,35.85M
IKNX,45.06M,0.02%,0.86M,1.98M
IKT,70.59M,1.25%,4.74M,10.05M
ILMN,68.72B,1.88%,145.62M,146.00M
ILPT,1.70B,1.39%,64.36M,65.14M
IMAB,6.49B,7.09%,30.46M,63.70M
IMAC,50.40M,0.40%,15.99M,25.20M
IMBI,167.97M,0.98%,14.27M,15.52M
IMCR,1.75B,0.40%,42.44M,43.75M
IMGN,1.32B,11.60%,198.83M,198.84M
IMMP,253.00M,0.13%,61.71M,64.87M
IMMR,262.18M,7.30%,22.04M,28.58M
IMNM,200.95M,2.72%,8.37M,10.64M
IMPL,205.83M,-,-,22.28M
IMRA,135.30M,5.55%,15.18M,17.58M
IMRN
IMTE,34.35M,6.25%,3.09M,8.44M
IMTX,737.53M,5.40%,34.85M,62.91M
IMUX,281.22M,9.50%,15.29M,21.18M
IMV,142.37M,1.19%,62.13M,67.80M
IMVT,1.11B,14.10%,38.20M,97.79M
IMXI,597.66M,3.05%,30.95M,38.24M
INBX,1.17B,3.66%,22.66M,37.74M
INCY,18.48B,2.38%,216.74M,219.80M
INDI,423.94M,-,-,8.62M
INDY,-,-,-,-
INFI,265.89M,5.31%,71.76M,75.73M
INFN,2.11B,12.74%,201.00M,202.64M
INGN,1.48B,2.25%,22.06M,22.18M
INKAU,-,-,-,-
INM,25.01M,0.17%,8.01M,8.05M
INMB,274.79M,9.15%,10.48M,14.32M
INMD,3.61B,9.54%,24.62M,39.03M
INNV,3.02B,5.50%,18.97M,121.33M
INO,1.98B,22.69%,206.00M,209.40M
INOD,187.93M,1.15%,23.73M,25.87M
INOV,5.28B,5.78%,74.29M,150.30M
INPX,125.20M,5.72%,108.30M,111.78M
INSE,291.87M,7.31%,21.61M,22.59M
INSG,998.27M,23.17%,77.78M,101.37M
INSM,3.34B,8.39%,97.36M,103.04M
INTA
INTC,226.17B,1.47%,4.04B,4.06B
INTU,134.18B,0.80%,265.51M,273.00M
INTZ,260.81M,16.24%,8.91M,17.54M
INVA,1.39B,8.85%,100.94M,101.36M
INVE,356.16M,4.52%,19.44M,21.44M
INVO,48.20M,2.24%,8.55M,9.89M
INVZ,1.37B,26.43%,11.29M,16.97M
INZY,401.54M,4.84%,21.39M,23.43M
IONS,5.65B,6.70%,133.85M,140.77M
IOVA,4.06B,14.46%,143.25M,147.37M
IPA,118.29M,0.79%,17.07M,19.08M
IPDN,22.20M,1.63%,6.29M,13.26M
IPGP,11.25B,3.57%,36.09M,53.54M
IPSC,1.60B,-,15.66M,54.82M
IPVIU
IPW,168.19M,0.24%,8.10M,26.74M
IPWR,76.51M,6.28%,5.25M,5.34M
IQ,11.94B,14.99%,310.70M,789.53M
IRBT,2.54B,19.12%,27.53M,28.26M
IRDM,5.40B,5.76%,117.63M,135.07M
IRIX,110.57M,1.41%,11.16M,14.35M
IRTC,1.87B,6.26%,28.94M,29.16M
IRWD,2.09B,12.96%,159.78M,160.97M
ISAA,-,-,-,-
ISBC,3.55B,6.18%,226.78M,234.66M
ISEE,638.14M,11.17%,84.91M,93.31M
ISIG,14.63M,3.47%,1.04M,1.75M
ISLE,254.84M,-,-,26.19M
ISNS,35.60M,2.26%,3.31M,5.32M
ISPC
ISRG,109.82B,1.26%,117.27M,118.10M
ISTB,-,-,-,-
ISTR,242.53M,3.82%,9.64M,10.51M
ISUN,102.07M,8.15%,6.51M,7.70M
ITAC
ITACU,-,0.06%,6.53M,-
ITCI,3.45B,7.63%,77.18M,80.95M
ITHXU,-,0.00%,23.54M,-
ITI,274.10M,1.29%,41.02M,41.77M
ITOS,909.97M,4.82%,34.85M,35.09M
ITQRU,-,0.01%,23.00M,-
ITRI,4.55B,4.05%,44.70M,45.13M
ITRM,410.20M,2.26%,176.16M,179.14M
IUSB,-,-,-,-
IUSG,-,-,-,-
IUSV,-,-,-,-
IVA,550.48M,1.84%,10.19M,38.63M
IVAC,161.60M,3.17%,23.33M,24.03M
IVR,1.10B,-,-,223.96M
IXUS,-,-,-,-
IZEA,152.70M,3.19%,56.07M,56.33M
JACK,2.51B,6.03%,21.79M,22.72M
JAGX,222.50M,5.93%,136.03M,137.32M
JAKK,72.24M,5.07%,4.34M,5.38M
JAMF,3.96B,2.53%,116.39M,117.39M
JAN,21.30M,13.08%,2.38M,2.40M
JANX
JAZZ,11.05B,8.13%,55.44M,56.47M
JBHT,17.64B,2.16%,84.11M,105.68M
JBLU,5.42B,4.00%,314.25M,316.30M
JCICU,-,-,-,-
JCOM,6.26B,9.21%,43.07M,44.40M
JCS,66.38M,2.44%,6.14M,9.33M
JD,123.12B,2.85%,935.77M,1.55B
JFIN,292.83M,0.15%,26.75M,54.02M
JFU,541.30M,3.70%,81.19M,202.00M
JG,304.80M,1.63%,62.51M,117.59M
JKHY,12.20B,3.20%,73.54M,75.36M
JNCE,338.52M,4.38%,41.85M,45.96M
JOAN,640.79M,4.53%,13.20M,38.38M
JOBS,5.86B,4.24%,58.36M,67.41M
JOET,-,-,-,-
JOFFU,-,-,-,-
JRJC,25.96M,2.66%,0.24M,2.30M
JRVR,1.40B,4.57%,29.96M,30.71M
JUGGU,-,-,21.72M,-
JUPW,50.98M,2.88%,5.89M,11.17M
JWEL,161.43M,0.06%,20.08M,26.27M
JYAC,132.88M,0.00%,10.86M,13.45M
JYNT,1.21B,11.80%,13.76M,14.18M
JZXN,154.51M,0.44%,7.22M,22.20M
KAIIU,-,-,-,-
KAIRU,-,0.00%,25.97M,-
KALA,351.00M,19.10%,42.16M,61.66M
KALV,595.38M,6.73%,21.28M,24.31M
KBAL,487.43M,1.19%,36.03M,36.86M
KBNT,76.88M,3.93%,10.06M,12.62M
KBSF,15.80M,12.85%,1.54M,2.71M
KBWB,-,-,-,-
KBWP,-,-,-,-
KC,7.66B,7.26%,93.01M,222.89M
KDMN,694.81M,27.11%,155.98M,171.69M
KDNY,628.62M,2.73%,39.99M,42.14M
KDP,49.92B,4.71%,832.18M,1.41B
KELYA,953.85M,1.53%,35.35M,39.30M
KERN,103.61M,14.48%,21.47M,22.21M
KFRC,1.39B,1.76%,20.58M,20.93M
KHC,49.53B,2.74%,661.61M,1.22B
KIDS,1.25B,13.70%,13.71M,19.20M
KIIIU,-,0.00%,29.51M,-
KIN,416.51M,5.44%,33.24M,41.09M
KINZ,340.91M,0.07%,20.70M,34.54M
KINZU,-,0.01%,27.60M,-
KIRK,333.45M,18.26%,13.36M,14.29M
KLAC,47.78B,1.67%,152.88M,153.80M
KLAQU,-,0.00%,28.75M,-
KLDO,332.06M,8.68%,39.02M,39.69M
KLIC,3.70B,2.45%,60.50M,62.07M
KLXE,89.77M,17.57%,3.83M,8.30M
KMDA,262.21M,3.36%,28.57M,44.75M
KMPH,379.18M,16.09%,24.56M,28.51M
KNBE,4.91B,9.42%,11.23M,179.01M
KNDI,447.80M,21.61%,60.84M,75.38M
KNSA,990.11M,13.50%,31.01M,68.27M
KNSL,3.86B,2.95%,21.42M,22.66M
KNTE,1.03B,4.73%,36.94M,43.48M
KOD,4.90B,8.26%,45.25M,51.57M
KOPN,724.79M,5.49%,76.88M,87.38M
KOSS,186.47M,16.72%,2.57M,8.10M
KPLT,365.43M,21.68%,21.37M,31.91M
KPTI,798.23M,21.33%,67.71M,74.52M
KRBP
KRKR,93.50M,0.04%,34.41M,41.17M
KRMA,-,-,-,-
KRMD,182.38M,5.24%,39.45M,43.96M
KRNLU,-,0.05%,30.48M,-
KRNT,5.73B,1.54%,45.80M,46.04M
KRNY,978.43M,1.76%,72.90M,80.67M
KRON,1.36B,9.75%,45.52M,54.15M
KROS,960.40M,4.53%,18.50M,23.23M
KRT,406.98M,0.12%,5.02M,19.96M
KSICU,-,-,-,-
KSMT
KSMTU,-,0.00%,12.04M,-
KTOS,3.54B,3.08%,121.77M,124.10M
KTRA,75.00M,4.02%,28.97M,29.27M
KURA,1.44B,13.66%,62.64M,66.22M
KURI
KURIU,-,0.00%,34.27M,-
KVSA,351.00M,-,-,35.49M
KVSB,412.60M,-,-,41.63M
KVSC,553.73M,-,-,56.33M
KXIN,155.80M,1.24%,18.80M,41.72M
KYMR,2.52B,4.42%,40.92M,44.65M
KZIA,130.68M,0.44%,3.99M,10.74M
KZR,261.62M,8.37%,33.44M,51.06M
LAAAU
LABP,464.59M,1.80%,24.99M,26.07M
LAKE,178.00M,9.09%,7.79M,7.99M
LAMR,10.62B,1.61%,86.08M,100.97M
LAND,706.92M,3.25%,26.80M,26.88M
LASR,1.55B,3.02%,41.91M,42.81M
LATN,187.37M,0.24%,7.13M,25.00M
LAUR,2.89B,3.90%,106.83M,200.22M
LAZR,7.27B,13.04%,190.13M,332.99M
LAZY,235.97M,8.02%,10.45M,10.90M
LBPH,156.52M,0.33%,5.75M,6.81M
LBRDK,28.26B,-,-,160.24M
LBTYA,15.43B,0.73%,524.48M,575.12M
LBTYK,10.06B,-,-,371.44M
LCAA
LCAAU,-,-,-,-
LCAHU
LCAPU
LCNB,218.49M,3.64%,12.11M,12.79M
LCY,1.42B,11.52%,30.08M,62.50M
LCYAU,-,0.00%,30.08M,-
LDEM,-,-,-,-
LDHAU,-,-,-,-
LE,1.35B,6.28%,14.49M,32.77M
LECO,7.87B,1.34%,58.08M,59.64M
LEDS,67.31M,14.64%,2.46M,4.03M
LEE,160.56M,4.26%,5.05M,5.72M
LEGAU,-,-,-,-
LEGN,5.66B,1.60%,127.35M,133.15M
LEGO,303.71M,1.08%,24.64M,29.50M
LEGOU,-,0.07%,24.80M,-
LESL,5.24B,9.06%,181.91M,186.81M
LEXX,35.52M,15.93%,2.56M,4.05M
LFMD,303.09M,11.09%,16.52M,24.47M
LFST,10.32B,0.16%,315.38M,374.05M
LFTR,252.43M,0.49%,15.53M,25.52M
LFTRU,-,0.00%,17.00M,-
LFVN,102.17M,4.63%,12.73M,14.07M
LGACU,-,0.02%,71.88M,-
LGHL,75.19M,5.52%,25.13M,37.03M
LGND,2.26B,10.86%,15.85M,16.43M
LGVN,157.20M,7.15%,2.60M,17.49M
LHAA,225.61M,-,-,22.95M
LHDX,241.49M,5.30%,37.59M,38.55M
LI,31.38B,36.46%,95.00M,904.64M
LIFE,80.30M,4.23%,13.17M,14.10M
LILA,3.32B,0.38%,201.25M,232.41M
LILAK,2.52B,-,-,181.15M
LINC,215.20M,0.55%,24.28M,24.89M
LIND,807.97M,15.69%,30.66M,49.87M
LIQT,158.83M,6.30%,19.21M,21.68M
LITE,6.37B,9.73%,75.70M,75.80M
LITTU
LIVE,98.90M,2.05%,1.29M,1.55M
LIVN,4.17B,4.27%,48.65M,48.74M
LIVX,361.78M,11.60%,55.20M,72.36M
LIXT,42.82M,0.22%,4.43M,12.77M
LIZI,350.21M,11.91%,26.13M,46.54M
LJAQU,-,0.00%,12.87M,-
LJPC,113.48M,8.67%,27.01M,27.43M
LKCO,702.44M,2.16%,181.77M,317.85M
LKQ,15.14B,1.43%,298.51M,303.04M
LLNW,398.41M,8.29%,119.79M,124.29M
LMACU,-,0.01%,56.28M,-
LMAOU,-,-,-,-
LMB,94.83M,1.91%,8.18M,9.22M
LMBS,-,-,-,-
LMFA,23.10M,5.00%,4.98M,5.05M
LMNL,117.42M,4.19%,10.06M,29.94M
LMNX,1.74B,4.90%,45.25M,45.89M
LMPX,156.46M,8.58%,6.06M,10.04M
LMRK,326.01M,0.05%,21.54M,25.49M
LNT,14.08B,1.81%,249.90M,250.00M
LNTH,1.93B,6.03%,65.52M,67.09M
LOB,2.59B,8.26%,31.19M,42.67M
LOCO,672.99M,8.69%,19.16M,35.80M
LOGC,141.22M,4.13%,25.95M,31.93M
LOGI,20.81B,7.68%,166.94M,168.75M
LOOP,507.14M,11.80%,19.40M,42.39M
LOPE,4.21B,2.27%,45.72M,46.08M
LOTZ,601.31M,7.25%,80.87M,114.10M
LOVE,1.16B,14.68%,12.70M,15.04M
LPCN,123.60M,3.46%,86.08M,88.29M
LPLA,11.26B,1.79%,79.33M,79.70M
LPRO,5.25B,3.21%,100.38M,126.80M
LPSN,4.25B,16.42%,64.14M,67.90M
LPTH,65.61M,4.27%,19.91M,26.37M
LPTX,96.10M,2.81%,43.67M,59.67M
LQDA,146.61M,3.61%,41.86M,43.44M
LQDT,842.78M,5.84%,26.50M,33.49M
LRCX,90.29B,1.56%,142.31M,142.68M
LRMR,149.73M,2.75%,15.05M,16.00M
LSAQ,100.10M,0.09%,8.64M,10.01M
LSCC,7.55B,4.13%,134.43M,136.40M
LSEA,388.79M,1.95%,10.31M,44.25M
LSXMA,28.25B,1.21%,298.92M,343.00M
LSXMK,10.57B,-,-,227.43M
LTBR,46.58M,1.40%,6.51M,6.59M
LTCH,1.79B,36.94%,9.99M,37.50M
LTRN,161.04M,4.40%,9.03M,10.07M
LTRPA,394.90M,2.58%,72.31M,75.00M
LTRX,147.89M,0.91%,17.79M,28.82M
LULU,47.41B,1.62%,114.38M,130.36M
LUNG,1.60B,3.27%,29.64M,35.37M
LUXA
LUXAU,-,0.00%,26.41M,-
LVHD,-,-,-,-
LVRAU,-,-,-,-
LVTX,275.59M,0.79%,16.98M,25.35M
LWAC
LWACU,-,0.00%,17.05M,-
LWAY,87.77M,5.25%,3.05M,15.60M
LX,2.17B,1.32%,91.54M,183.69M
LXRX,629.49M,2.54%,138.35M,143.38M
LYEL,3.89B,-,203.96M,242.53M
LYFT,20.38B,10.53%,277.80M,326.17M
LYL,18.91M,3.85%,5.68M,11.42M
LYRA,102.38M,4.41%,9.60M,12.95M
LYTS,206.37M,3.21%,24.06M,26.77M
LZ,-,-,-,-
MAAC,507.77M,1.23%,30.80M,51.34M
MACAU,-,0.02%,9.10M,-
MACK,84.80M,2.53%,13.35M,13.40M
MACQU,-,0.01%,32.47M,-
MACUU
MAGS,108.61M,0.52%,13.30M,23.16M
MANH,9.35B,1.60%,62.72M,63.65M
MAPS,2.65B,-,-,31.25M
MAQCU
MAR,45.34B,1.96%,271.96M,326.70M
MARA,3.06B,16.43%,88.82M,94.35M
MARK,187.81M,11.39%,88.67M,99.76M
MARPS,9.41M,0.07%,1.61M,2.00M
MASI,13.70B,2.48%,50.56M,55.20M
MASS,1.01B,13.65%,19.75M,27.29M
MAT,7.08B,3.91%,347.44M,349.04M
MAXN,871.82M,13.95%,20.34M,34.12M
MBB,-,-,-,-
MBII,291.00M,1.32%,82.52M,168.94M
MBIO,293.38M,5.53%,69.80M,80.47M
MBOT,56.26M,4.30%,6.81M,7.11M
MBRX,102.10M,2.92%,27.87M,28.44M
MCADR
MCAEU
MCAFU
MCFE,12.22B,5.76%,53.42M,162.40M
MCFT,499.99M,4.11%,18.26M,18.82M
MCHI,-,-,-,-
MCHP,40.40B,2.74%,268.20M,271.30M
MCRB,2.07B,8.18%,83.36M,91.53M
MDB,22.24B,10.00%,58.21M,61.36M
MDCA,470.82M,0.85%,36.08M,73.39M
MDGS,43.51M,-,-,23.78M
MDIA,29.60M,10.48%,1.92M,7.12M
MDIV,-,-,-,-
MDJH,75.92M,0.92%,1.46M,11.66M
MDLY,35.32M,4.71%,3.83M,6.11M
MDLZ,87.75B,0.83%,1.40B,1.41B
MDNA,159.05M,0.81%,37.28M,53.55M
MDRR,21.50M,1.06%,14.45M,16.05M
MDRX,2.61B,10.97%,138.43M,140.19M
MDVL,382.77M,2.12%,7.77M,32.52M
MDWD,111.71M,0.74%,15.58M,27.24M
MDXG,1.44B,5.19%,106.88M,109.40M
ME,4.47B,-,-,63.57M
MEDP,6.42B,2.35%,28.46M,35.75M
MEDS,58.31M,0.10%,3.27M,8.09M
MEIP,332.10M,10.44%,109.39M,112.56M
MELI,77.02B,2.99%,45.75M,49.87M
MEOH,2.53B,1.95%,75.92M,76.21M
MERC,836.75M,2.61%,40.42M,65.86M
MESA,343.07M,7.16%,31.54M,35.63M
MESO,970.39M,1.15%,115.19M,120.89M
METX,101.10M,4.63%,42.61M,55.66M
MF
MFH,50.80M,1.70%,5.53M,8.70M
MFNC,208.84M,3.22%,9.87M,10.52M
MGI,908.87M,6.57%,73.34M,79.60M
MGLN,2.46B,7.39%,25.73M,25.95M
MGNI,4.47B,11.81%,111.62M,115.30M
MGNX,1.69B,7.25%,56.32M,57.20M
MGTA,480.76M,3.65%,43.51M,48.57M
MGTX,708.48M,1.38%,31.72M,43.97M
MHLD,293.70M,0.55%,61.88M,85.13M
MICT,265.39M,10.12%,75.44M,88.56M
MIDD,9.62B,9.53%,55.02M,55.21M
MILE,1.16B,-,-,75.79M
MIME,3.47B,3.60%,58.47M,64.43M
MIND,26.69M,0.33%,12.97M,13.76M
MIRM,536.84M,2.71%,27.78M,30.11M
MIRO
MIST,167.67M,1.23%,26.96M,41.26M
MITAU
MITC,84.00M,1.07%,10.59M,12.28M
MITK,835.23M,8.02%,41.79M,43.14M
MITO,90.10M,2.26%,6.46M,54.40M
MKD,126.60M,2.51%,54.20M,116.90M
MKGI,52.09M,1.94%,16.38M,17.30M
MKSI,9.45B,1.34%,55.12M,55.30M
MKTY,91.87M,0.86%,7.26M,9.80M
MLAC,177.90M,0.19%,14.38M,14.38M
MLACU
MLCO,8.01B,1.52%,455.32M,477.43M
MLHR,2.87B,7.97%,58.65M,58.98M
MMAC,155.78M,2.77%,4.54M,5.82M
MMAT,578.63M,21.79%,35.14M,64.81M
MMLP,115.59M,0.68%,31.73M,38.69M
MMSI,3.61B,3.69%,54.82M,55.72M
MMYT,3.08B,4.62%,47.22M,106.71M
MNDY,10.15B,0.23%,28.13M,44.26M
MNKD,1.37B,14.70%,235.07M,246.63M
MNMD,771.75M,-,-,226.32M
MNOV,202.42M,9.39%,41.96M,47.53M
MNPR,73.49M,1.60%,4.27M,12.14M
MNRO,2.16B,9.00%,32.99M,33.43M
MNST,48.18B,1.38%,376.77M,528.20M
MNTK,1.06B,2.25%,13.22M,141.01M
MNTV,3.13B,2.80%,127.00M,144.69M
MOGO,516.73M,2.36%,60.95M,70.30M
MOHO,55.60M,0.20%,14.50M,35.10M
MOLN,581.76M,-,19.13M,29.15M
MOMO,3.15B,5.58%,164.29M,205.98M
MONCU,-,-,-,-
MOR,2.48B,0.10%,130.80M,131.03M
MORF,2.12B,3.63%,24.03M,33.53M
MOSY,48.98M,7.64%,5.40M,8.62M
MOTN
MOTNU,-,0.00%,9.37M,-
MOTS,48.19M,11.37%,41.40M,42.23M
MOVE,166.48M,0.02%,27.04M,32.77M
MOXC,430.11M,3.47%,11.36M,16.19M
MPACU,-,-,-,-
MPWR,16.94B,1.35%,44.70M,45.50M
MQ,14.90B,9.61%,44.89M,501.85M
MRAC
MRACU,-,0.00%,30.46M,-
MRAM,120.52M,1.45%,18.56M,19.09M
MRCY,3.76B,2.15%,55.13M,55.15M
MREO,341.00M,13.07%,54.63M,107.57M
MRIN,165.36M,1.59%,9.86M,10.30M
MRKR,239.09M,3.88%,59.71M,83.01M
MRLN,274.61M,1.58%,11.08M,11.83M
MRM,49.09M,0.41%,3.32M,5.21M
MRNA,94.40B,3.95%,362.65M,400.00M
MRNS,685.02M,11.08%,36.58M,36.60M
MRSN,955.12M,12.70%,67.94M,68.99M
MRTN,1.39B,2.91%,58.97M,82.76M
MRTX,8.56B,10.14%,47.20M,50.78M
MRUS,800.62M,4.02%,35.31M,36.21M
MRVI,10.31B,5.54%,89.07M,96.65M
MRVL,47.03B,2.18%,815.00M,819.28M
MSDAU,-,-,-,-
MSEX,1.45B,3.76%,16.75M,17.48M
MSFT,2045.58B,0.64%,7.53B,7.54B
MSGM,260.68M,0.63%,4.61M,17.78M
MSTR,6.34B,24.62%,7.78M,9.65M
MTACU,-,0.00%,23.62M,-
MTC,48.70M,0.64%,12.03M,20.70M
MTCH,43.15B,4.60%,263.26M,268.65M
MTCR,101.50M,2.06%,20.78M,26.01M
MTEM,439.81M,3.50%,41.19M,52.56M
MTLS,1.46B,6.28%,13.00M,52.39M
MTP,26.49M,1.64%,10.10M,12.68M
MTRX,280.05M,3.54%,25.82M,26.52M
MTSI,4.30B,5.17%,48.30M,68.50M
MTSL,14.91M,0.54%,2.80M,6.26M
MU,89.84B,2.16%,1.12B,1.12B
MUDS,489.83M,5.78%,31.62M,39.53M
MUDSU
MVIS,2.59B,17.39%,156.90M,157.95M
MXIM,27.69B,4.51%,266.79M,267.89M
MYGN,2.41B,7.10%,75.71M,76.00M
MYMD,237.89M,2.54%,31.38M,36.88M
MYSZ,22.86M,3.50%,9.10M,15.04M
NAACU,-,0.00%,34.98M,-
NAKD,486.22M,9.16%,424.36M,781.70M
NAOV,20.80M,1.11%,21.18M,24.17M
NARI,4.77B,2.73%,37.69M,49.36M
NATI,5.57B,3.07%,121.22M,131.48M
NAVI,3.50B,4.89%,174.99M,183.00M
NBEV,303.50M,4.21%,132.03M,136.54M
NBIX,9.21B,4.80%,92.33M,94.20M
NBN,245.01M,3.01%,7.36M,8.35M
NBRV,64.20M,7.66%,35.19M,49.41M
NBSE,155.69M,4.46%,27.28M,32.72M
NBSTU,-,-,-,-
NCMI,415.50M,4.85%,61.58M,78.48M
NCNA,148.71M,1.14%,32.48M,51.65M
NCNO,5.85B,8.96%,52.14M,92.83M
NCTY,159.33M,12.91%,8.28M,12.38M
NDACU,-,0.01%,35.31M,-
NDAQ,28.89B,2.76%,114.11M,164.71M
NDLS,580.63M,6.11%,36.44M,45.10M
NDRA,89.61M,2.09%,38.22M,41.67M
NDSN,12.70B,0.84%,51.61M,58.07M
NEBC
NEBCU,-,0.01%,25.00M,-
NEGG,6.48B,-,-,3.60M
NEO,5.29B,5.09%,113.01M,116.20M
NEOG,4.96B,3.01%,106.64M,106.83M
NEPT,187.01M,5.47%,111.31M,165.49M
NERV,99.99M,8.14%,41.21M,42.72M
NESR,1.33B,2.49%,49.02M,90.03M
NETE,62.31M,6.50%,4.48M,5.97M
NEWT,794.52M,2.24%,21.18M,22.34M
NEXI,350.25M,1.97%,14.13M,22.58M
NEXT,492.49M,17.07%,15.56M,118.26M
NFBK,846.46M,1.67%,40.91M,49.53M
NFE,8.10B,3.76%,87.31M,176.50M
